フォルダ名,科目コード,科目名,対象学年,クラスコード,講義室,開講学期,曜日・時限,単位区分,単位数
工学部,B1002000,物理学（力学）,2年・3年・4年,再履２,Ｇ２２０８,前期,火Ⅴ,必修,2
工学部,B1002000,物理学（力学）,1年・2年・3年・4年,再履３,Ｇ２２０８,後期,火Ⅴ,必修,2
工学部,B1003000,物理実験,2年・3年・4年,X1,10号６・７Ｆ,前期,火Ⅲ・火Ⅳ,必修,2
工学部,B1004000,基礎化学１,1年,11,Ｇ２２０８,前期,水Ⅱ,必修,2
工学部,B1004000,基礎化学１,1年・2年・3年・4年,21,Ｇ２２０９,前期,水Ⅱ,必修,2
工学部,B1005000,基礎化学２,1年,11,Ｇ２２０８,後期,水Ⅱ,必修,2
工学部,B1005000,基礎化学２,1年・2年・3年・4年,21,Ｇ２５１,後期,水Ⅱ,必修,2
工学部,B1006000,無機化学１,1年・2年・3年・4年,X1,Ｇ２３１１,後期,木Ⅰ,必修,2
工学部,B1007000,無機化学２,2年・3年・4年,X1,Ｃ１４１１,前期,木Ⅱ,必修,2
工学部,B1008000,有機化学１,1年・2年・3年・4年,X1,１２－２０２,後期,月Ⅲ,必修,2
工学部,B1009000,有機化学２,2年・3年・4年,X1,Ｃ１４１１,前期,月Ⅲ,必修,2
工学部,B1010000,物理化学１,2年・3年・4年,X1,Ｇ３４０２,前期,火Ⅱ,必修,2
工学部,B1011000,物理化学２,2年,X1,Ｇ３２０３,後期,火Ⅱ,必修,2
工学部,B1011000,物理化学２,3年・4年,再履１,Ｇ３２０３,後期,火Ⅱ,必修,2
工学部,B1011000,物理化学２,3年・4年,再履２,１－５０２,後期,火Ⅲ,必修,2
工学部,B1012000,分析化学１,2年・3年・4年,X1,１２－２０１,前期,月Ⅱ,必修,2
工学部,B1013000,化学計測学,3年,X1,Ｇ２１１０,前期,木Ⅰ,必修,2
工学部,B1013000,化学計測学,4年,再履１,Ｇ２１１０,前期,木Ⅰ,必修,2
工学部,B1016000,超分子化学概論,2年・3年・4年,X1,Ｃ１４１１,前期,水Ⅰ,必修,2
工学部,B1017000,環境・分析化学実験,2年・3年・4年,X1,Ｃ２１０１,後期,金Ⅲ・金Ⅳ,必修,2
工学部,B1018000,バイオ環境化学実験１,3年・4年,X1,Ｃ２１０１,前期,水Ⅲ・水Ⅳ,必修,2
工学部,B1019000,バイオ環境化学実験２,3年・4年,X1,Ｃ２１０１,後期,水Ⅲ・水Ⅳ,必修,2
工学部,B1021000,卒業研究,4年,11,,通年,時間外,必修,4
工学部,B1021000,卒業研究,4年,21,,通年,時間外,必修,4
工学部,B1021000,卒業研究,4年,51,,通年,時間外,必修,4
工学部,B1021000,卒業研究,4年,61,,通年,時間外,必修,4
工学部,B1021000,卒業研究,4年,71,,通年,時間外,必修,4
工学部,B1022000,基礎化学実験,2年・3年・4年,X1,Ｃ２１０１,前期,金Ⅲ・金Ⅳ,必修,2
工学部,B1023000,バイオ環境化学演習,3年・4年,X1,１２－ゼミ室,後期,火Ⅳ・金Ⅲ,必修,1
工学部,B1025000,分子生物学２,2年・3年・4年,再履１,１２－３０３,後期,火Ⅴ,必修・選択,2
工学部,B1026000,データサイエンス基礎数理,1年・2年,11,Ｇ３２０３,前期,金Ⅱ,必修,2
工学部,B1026000,データサイエンス基礎数理,1年・2年,21,Ｇ３４０３,前期,金Ⅱ,必修,2
工学部,B1027000,応用化学セミナー,1年・2年・3年・4年,X1,１－５０２・１２－２０２,前期,木Ⅱ・木Ⅴ,必修,1
工学部,B1028000,生物化学１,1年・2年・3年・4年,X1,１－４０１,前期,火Ⅱ,必修,2
工学部,B2001000,線形代数２,1年・2年・3年・4年,11,Ｇ３５０４,後期,木Ⅲ,選択,2
工学部,B2001000,線形代数２,1年・2年・3年・4年,21,Ｇ１５２,後期,木Ⅲ,選択,2
工学部,B2002000,微分積分１及び演習,1年,11,Ｇ２３１０,前期,火Ⅲ・火Ⅳ,選択,3
工学部,B2002000,微分積分１及び演習,1年・2年・3年・4年,21,Ｇ２４０８,前期,火Ⅲ・火Ⅳ,選択,3
工学部,B2002000,微分積分１及び演習,1年・2年・3年・4年,再履１,Ｇ２２０８,後期,水Ⅴ・水Ⅵ,選択,3
工学部,B2002000,微分積分１及び演習,1年・2年・3年・4年,再履２,Ｇ２２０８,後期,木Ⅴ・木Ⅵ,選択,3
工学部,B2003000,微分積分２及び演習,1年,11,Ｇ２５１,後期,火Ⅲ・火Ⅳ,選択,3
工学部,B2003000,微分積分２及び演習,1年・2年・3年・4年,21,Ｇ２５２,後期,火Ⅲ・火Ⅳ,選択,3
工学部,B2003000,微分積分２及び演習,2年・3年・4年,再履１,Ｇ２２０８,前期,木Ⅴ・木Ⅵ,選択,3
工学部,B2004000,物理学（電磁気学）,2年・3年・4年,11,Ｇ３４０２,前期,月Ⅰ,選択,2
工学部,B2004000,物理学（電磁気学）,2年・3年・4年,21,Ｇ２２０８,前期,月Ⅰ,選択,2
工学部,B2005000,物理学（波動）,2年・3年・4年,11,Ｇ２５０５,後期,月Ⅱ,選択,2
工学部,B2005000,物理学（波動）,2年・3年・4年,21,Ｇ２５０６,後期,月Ⅱ,選択,2
工学部,B2009000,分析化学２,2年・3年・4年,X1,Ｇ２１１０,後期,木Ⅲ,選択,2
工学部,B2010000,高分子化学２,2年・3年・4年,X1,１－３０３,後期,火Ⅰ,選択,2
工学部,B2015000,固体構造化学,2年・3年・4年,X1,１－５０２,後期,月Ⅲ,選択,2
工学部,B2018000,有機構造解析,3年・4年,X1,１－３０３,後期,木Ⅱ,選択,2
工学部,B2021000,生物無機化学,3年・4年,X1,１２－２０２,前期,水Ⅱ,選択,2
工学部,B2022000,生物有機化学,2年・3年・4年,X1,１－３０３,後期,木Ⅰ,選択,2
工学部,B2023000,環境化学,3年・4年,X1,Ｇ２１１０,後期,金Ⅱ,選択,2
工学部,B2024000,環境分析化学,3年・4年,X1,Ｇ２５１,後期,火Ⅰ,選択,2
工学部,B2025000,食品化学,3年・4年,X1,１－４０１,前期,金Ⅰ,選択,2
工学部,B2026000,微生物学,3年・4年,X1,Ｇ２２０８,後期,水Ⅰ,選択,2
工学部,B2026000,微生物学,3年・4年,Z9,Ｇ２２０８,後期,水Ⅰ,選択,2
工学部,B2027000,薬理学,4年,X1,１２－２０２,前期,木Ⅳ,選択,2
工学部,B2028000,分子認識化学,3年・4年,X1,セ－実習室１,前期,金Ⅲ,選択,2
工学部,B2029000,生体物質合成化学,3年・4年,X1,Ｃ１４０１,前期,月Ⅱ,選択,2
工学部,B2031000,生体情報化学,2年・3年・4年,X1,Ｇ３４０３,後期,木Ⅱ,選択,2
工学部,B2032000,バイオミメティック化学,4年,再履１,Ｃ１４０１,前期,木Ⅱ,選択,2
工学部,B2033000,安全工学,3年・4年,X1,１－４０１,後期,月Ⅳ,選択,2
工学部,B2036000,機械工学概論,3年・4年,X1,Ｇ２３１０,後期,木Ⅳ,選択,2
工学部,B2042000,地学概論,1年・2年・3年・4年,X1,Ｇ２４０８,前期,月Ⅰ,査外,2
工学部,B2043000,高分子化学１,2年・3年・4年,X1,１－４０１,前期,金Ⅱ,選択,2
工学部,B2045000,有機化学３,2年,X1,Ｇ２２０８,後期,金Ⅱ,選択,2
工学部,B2047000,応用生物工学,3年・4年,X1,Ｃ１４０１,後期,木Ⅰ,選択,2
工学部,B2052000,物理化学演習,2年・3年・4年,X1,Ｇ２４０８,後期,火Ⅲ,選択,1
工学部,B2053000,化学英語,3年・4年,X1,Ｇ２５０７,前期,火Ⅱ,選択,2
工学部,B2053000,化学英語,3年・4年,X2,Ｇ２５０７,前期,火Ⅲ,選択,2
工学部,B2054000,生産管理入門,3年・4年,X1,１－４０１,後期,月Ⅴ,選択,2
工学部,B2056000,知的財産権,4年,X1,Ｇ２３１０,前期,水Ⅳ,選択,2
工学部,B2057000,ＣＡＤ,4年,X1,セ－実習室１,後期,火Ⅲ,選択,2
工学部,B2058000,生物学,1年・2年・3年・4年,X1,Ｇ１５１,前期,月Ⅳ,選択,2
工学部,B2059000,生物化学,2年・3年・4年,X1,Ｇ２２０９,前期,火Ⅰ,選択,2
工学部,B2060000,化学工学,3年・4年,X1,Ｇ２２１０,後期,火Ⅲ,選択,2
工学部,B2061000,基礎錯体化学,2年・3年,X1,Ｇ１５２,後期,水Ⅱ,選択,2
工学部,B2062000,生体高分子化学,3年,X1,Ｇ２５０７,前期,月Ⅲ,選択,2
工学部,B2063000,医薬品化学,3年,X1,Ｇ３２０３,後期,水Ⅱ,選択,2
工学部,B2067000,ソフトウェア,1年・2年・3年・4年,X1,セ－実習室１,前期,水Ⅳ,選択,2
工学部,B2069000,インターンシップ,1年・2年・3年・4年,X1,,後期,集中,選択,2
工学部,B2070000,生物化学２,1年・2年・3年・4年,X1,Ｇ２４０７,後期,火Ⅱ,選択,2
工学部,C0103000,工学基礎数理,2年・3年・4年,再履１,Ｇ２３１０,前期,火Ⅴ,必修,2
工学部,C0201000,現代社会と倫理,4年,X1,１－３０３,後期,金Ⅳ,選択,2
工学部,C0203000,キャリア意識形成,2年,X1,１２－２０１,後期,木Ⅱ,選択,2
工学部,C0209000,統計処理,3年・4年,X1,情教実習室Ａ,後期,木Ⅴ,選択,2
工学部,C0210000,キャリアデザイン,3年・4年,11,Ｇ２５２,前期,月Ⅰ,選択,2
工学部,C0210000,キャリアデザイン,3年・4年,21,Ｇ２５０７,前期,月Ⅳ,選択,2
工学部,C1002000,応用化学セミナー,1年・2年・3年・4年,X1,１－５０１・１２－２０１,前期,木Ⅱ・木Ⅴ,必修,1
工学部,C1024000,基礎化学１,1年,11,Ｇ２２０８,前期,水Ⅱ,必修,2
工学部,C1024000,基礎化学１,1年・2年・3年・4年,21,Ｇ２２０９,前期,水Ⅱ,必修,2
工学部,C1025000,基礎化学２,1年,11,Ｇ２２０８,後期,水Ⅱ,必修,2
工学部,C1025000,基礎化学２,1年・2年・3年・4年,21,Ｇ２５１,後期,水Ⅱ,必修,2
工学部,C1036000,高分子化学１,2年,X1,Ｇ１５２,前期,金Ⅰ,必修,2
工学部,C1036000,高分子化学１,3年・4年,再履１,Ｇ１５２,前期,金Ⅰ,必修,2
工学部,C1044000,線形代数１,1年・2年・3年・4年,11,１－３０３,前期,木Ⅲ,必修,2
工学部,C1044000,線形代数１,1年・2年・3年・4年,21,Ｇ２２０８,前期,木Ⅲ,必修,2
工学部,C1047000,卒業研究,4年,11,,通年,時間外,必修,4
工学部,C1047000,卒業研究,4年,21,,通年,時間外,必修,4
工学部,C1047000,卒業研究,4年,31,,通年,時間外,必修,4
工学部,C1047000,卒業研究,4年,41,,通年,時間外,必修,4
工学部,C1047000,卒業研究,4年,A1,,通年,時間外,必修,4
工学部,C1047000,卒業研究,4年,C1,,通年,時間外,必修,4
工学部,C1055000,物理化学１,2年・3年・4年,X1,Ｇ１５２,前期,木Ⅱ,必修,2
工学部,C1056000,物理化学２,2年・3年・4年,X1,１－５０２,後期,火Ⅲ,必修,2
工学部,C1060000,物理実験,2年・3年・4年,X1,10号６・７Ｆ,前期,火Ⅲ・火Ⅳ,必修,2
工学部,C1062000,分析化学１,2年・3年・4年,X1,Ｇ２２０９,前期,火Ⅱ,必修,2
工学部,C1067000,無機化学１,1年・2年・3年・4年,X1,Ｇ２３１１,後期,木Ⅱ,必修,2
工学部,C1068000,無機化学２,2年・3年・4年,X1,１－４０１,前期,月Ⅱ,必修,2
工学部,C1076000,有機化学１,1年・2年・3年・4年,X1,Ｇ１５２,後期,月Ⅲ,必修,2
工学部,C1078000,有機化学２,2年・3年・4年,X1,Ｇ１５１,前期,水Ⅰ,必修,2
工学部,C1083000,化学計測学,3年,X1,Ｇ２１１０,前期,木Ⅰ,必修,2
工学部,C1083000,化学計測学,4年,再履１,Ｇ２１１０,前期,木Ⅰ,必修,2
工学部,C1084000,物理学（力学）,1年,11,Ｇ２２０９,後期,金Ⅱ,必修,2
工学部,C1084000,物理学（力学）,1年・2年・3年・4年,21,Ｇ３４０２,後期,金Ⅱ,必修,2
工学部,C1084000,物理学（力学）,2年・3年・4年,再履１,Ｇ２２０９,前期,木Ⅴ,必修,2
工学部,C1084000,物理学（力学）,2年・3年・4年,再履２,Ｇ２２０８,前期,火Ⅴ,必修,2
工学部,C1084000,物理学（力学）,1年・2年・3年・4年,再履３,Ｇ２２０８,後期,火Ⅴ,必修,2
工学部,C1088000,環境・分析化学実験,2年・3年・4年,X1,Ｃ２１０１,後期,金Ⅲ・金Ⅳ,必修,2
工学部,C1089000,応用材料化学実験１,3年・4年,X1,Ｃ１３１５,前期,水Ⅲ・水Ⅳ,必修,2
工学部,C1090000,応用材料化学実験２,3年・4年,X1,Ｃ１３１５,後期,水Ⅲ・水Ⅳ,必修,2
工学部,C1092000,基礎化学実験,2年・3年・4年,X1,Ｃ２１０１,前期,金Ⅲ・金Ⅳ,必修,2
工学部,C1093000,応用材料化学演習,3年・4年,11,１２－２０１,後期,火Ⅳ,必修,1
工学部,C1093000,応用材料化学演習,3年・4年,21,Ｃ１４１１・１２－３０３,後期,火Ⅳ・金Ⅲ,必修,1
工学部,C1093000,応用材料化学演習,3年・4年,31,１２－２０２,後期,火Ⅳ,必修,1
工学部,C1093000,応用材料化学演習,3年・4年,41,Ｃ１４１１,後期,火Ⅳ,必修,1
工学部,C1094000,データサイエンス基礎数理,1年・2年,11,Ｇ３２０３,前期,金Ⅱ,必修,2
工学部,C1094000,データサイエンス基礎数理,1年・2年,21,Ｇ３４０３,前期,金Ⅱ,必修,2
工学部,C2003000,安全工学,3年・4年,X1,１－４０１,後期,月Ⅳ,選択,2
工学部,C2026000,環境化学,3年・4年,X1,Ｇ２１１０,後期,金Ⅱ,選択,2
工学部,C2026000,環境化学,3年・4年,Z9,Ｇ２１１０,後期,金Ⅱ,選択,2
工学部,C2030000,環境分析化学,3年・4年,X1,Ｇ２５１,後期,火Ⅰ,選択,2
工学部,C2032000,機械工学概論,3年・4年,X1,Ｇ２３１０,後期,木Ⅳ,選択,2
工学部,C2073000,生物化学概論,2年・3年・4年,X1,Ｇ２２０９,後期,月Ⅳ,選択,2
工学部,C2080000,線形代数２,1年・2年・3年・4年,11,Ｇ３５０４,後期,木Ⅲ,選択,2
工学部,C2080000,線形代数２,1年・2年・3年・4年,21,Ｇ１５２,後期,木Ⅲ,選択,2
工学部,C2090000,電気工学概論,3年・4年,X1,Ｃ１４１１,後期,月Ⅰ,選択,2
工学部,C2102000,微分積分２及び演習,1年,11,Ｇ２５１,後期,火Ⅲ・火Ⅳ,選択,3
工学部,C2102000,微分積分２及び演習,1年・2年・3年・4年,21,Ｇ２５２,後期,火Ⅲ・火Ⅳ,選択,3
工学部,C2102000,微分積分２及び演習,2年・3年・4年,再履１,Ｇ２２０８,前期,木Ⅴ・木Ⅵ,選択,3
工学部,C2105000,物理化学演習,2年・3年・4年,X1,１－４０１,後期,火Ⅱ,選択,1
工学部,C2115000,分析化学２,2年・3年・4年,X1,Ｇ２１１０,後期,木Ⅲ,選択,2
工学部,C2125000,無機材料化学,3年・4年,X1,Ｇ３４０３,後期,火Ⅱ,選択,2
工学部,C2131000,有機化学３,2年,X1,Ｇ２２０８,後期,金Ⅱ,選択,2
工学部,C2162000,物理学（波動）,2年・3年・4年,11,Ｇ２５０５,後期,月Ⅱ,選択,2
工学部,C2162000,物理学（波動）,2年・3年・4年,21,Ｇ２５０６,後期,月Ⅱ,選択,2
工学部,C2164000,高分子化学２,2年・3年・4年,X1,１－４０１,後期,火Ⅰ,選択,2
工学部,C2166000,電気化学,3年・4年,X1,Ｃ１４１１,前期,月Ⅱ,選択,2
工学部,C2167000,固体構造化学,2年・3年・4年,X1,１－５０２,後期,月Ⅲ,選択,2
工学部,C2168000,固体反応化学,3年・4年,X1,１－３０３,前期,金Ⅲ,選択,2
